SourceCountry,TargetCountry,Type,Total,Coal,Oil,NaturalGas,Electricity
CYM,ITA,Import,0.0009128,0,0.0009128,0,0
MNG,KOR,Export,0.0009264,0.0009264,0,0,0
PRY,PER,Export,0.0009279,0,0.0009279,0,0
MHL,IND,Export,0.000946,0,0.000946,0,0
MWI,ZWE,Export,0.0009474,0,0.0009474,0,0
CYM,ZAF,Export,0.0009603,0,0.0009603,0,0
NPL,CHN,Export,0.0009696,0,0.0009696,0,0
KGZ,MKD,Export,0.0009776,0,0.0009776,0,0
BRB,GTM,Export,0.0009875,0,0.0009875,0,0
MLI,SAU,Export,0.0009875,0,0.0009875,0,0
GIN,LBR,Export,0.0009932,0,0.0009932,0,0
GIB,CRI,Export,0.0009933,0,0.0009933,0,0
TLS,POL,Import,0.0010065,0,0.0010065,0,0
HND,NLD,Export,0.0010132,0.0009202,0.000093,0,0
BDI,RWA,Export,0.0010186,0,0.0010186,0,0
SLE,FRA,Export,0.0010266,0,0.0010266,0,0
SLE,LBR,Export,0.0010367,0,0.0010367,0,0
COK,NZL,Export,0.0010642,0,0.0010642,0,0
LCA,ITA,Import,0.0010665,0,0.0010665,0,0
NFK,BEL,Import,0.0010813,0,0.0010813,0,0
TON,NLD,Import,0.0010886,0,0.0010886,0,0
BMU,USA,Export,0.0011,0,0.0011,0,0
CAF,SAU,Import,0.0011447,0,0.0011447,0,0
AFG,MOZ,Export,0.0011522,0,0.0011522,0,0
BWA,SGP,Import,0.0011525,0,0.0011525,0,0
AND,BEL,Import,0.0011672,0,0.0011672,0,0
BRB,COL,Export,0.0011994,0,0.0011994,0,0
SLB,NZL,Import,0.00122,0,0.00122,0,0
BWA,CHN,Import,0.0012213,0,0.0012213,0,0
SHN,NAM,Import,0.0013091,0,0.0013091,0,0
AND,ERI,Import,0.0013135,0,0.0013135,0,0
ERI,AND,Export,0.0013135,0,0.0013135,0,0
DMA,DOM,Import,0.0013351,0,0.0013351,0,0
ASM,BDI,Export,0.0013426,0,0.0013426,0,0
SSD,UGA,Export,0.0013582,0,0.0011657,0.0001926,0
WSM,MYS,Import,0.0013605,0,0.0013605,0,0
MUS,OMN,Export,0.0013717,0,0.0013717,0,0
PNG,MYS,Export,0.0013757,0,0.0013757,0,0
NIC,USA,Export,0.0013804,0,0.0013804,0,0
COK,HUN,Import,0.0013952,0,0.0013952,0,0
CYM,BGR,Import,0.0014015,0,0.0014015,0,0
WSM,AUS,Export,0.0014022,0,0.0014022,0,0
PRK,DEU,Import,0.0014307,0,0.0014307,0,0
PCN,NZL,Import,0.0014361,0,0.0014361,0,0
UGA,BDI,Export,0.0014652,0,0.0014652,0,0
TUV,IND,Export,0.0015136,0,0.0015136,0,0
AND,ZMB,Export,0.0015167,0,0.0015167,0,0
MRT,CHN,Export,0.0015387,0,0.0015387,0,0
FLK,USA,Import,0.0015432,0,0.0015432,0,0
VUT,FJI,Export,0.001546,0,0.001546,0,0
TUV,ZAF,Import,0.0015794,0,0.0015794,0,0
LBR,GTM,Export,0.00158,0,0.00158,0,0
SWZ,CHN,Import,0.00158,0,0.00158,0,0
NIU,SEN,Export,0.0015959,0,0.0015959,0,0
PRK,NER,Export,0.0016101,0,0.0016101,0,0
ATF,POL,Import,0.0016641,0,0.0016641,0,0
LCA,DEU,Import,0.0016908,0.0014567,0.0002341,0,0
COK,FJI,Export,0.0017028,0,0.0017028,0,0
ATA,KOR,Import,0.0018447,0,0.0018447,0,0
SUR,ABW,Export,0.0018762,0,0.0018762,0,0
STP,ARE,Import,0.0018766,0,0.0018766,0,0
DJI,QAT,Export,0.0018806,0.0018806,0,0,0
MDA,RUS,Export,0.0018913,0,0.0018913,0,0
HND,MEX,Export,0.0019157,0,0.0019157,0,0
HND,NIC,Export,0.001919,0,0.001919,0,0
NRU,NZL,Import,0.001954,0,0.001954,0,0
SYC,AUS,Export,0.0019573,0,0.0019573,0,0
HTI,USA,Export,0.0020247,0,0.0020247,0,0
ASM,NZL,Import,0.0020444,0,0.0020444,0,0
COM,POL,Import,0.0020661,0,0.0020661,0,0
CAF,UGA,Import,0.0020732,0,0.0020732,0,0
UGA,CAF,Export,0.0020732,0,0.0020732,0,0
AND,BFA,Export,0.0020857,0,0.0020857,0,0
MHL,USA,Export,0.0021063,0,0.0021063,0,0
WLF,SGP,Import,0.0021337,0,0.0021337,0,0
ASM,FJI,Import,0.0021795,0,0.0021795,0,0
SXM,NLD,Import,0.0021806,0.0016554,0.0005251,0,0
WSM,BEL,Import,0.0021899,0,0.0021899,0,0
LCA,MEX,Import,0.0022359,0,0.0022359,0,0
JAM,IND,Export,0.002243,0,0.002243,0,0
JAM,CHN,Export,0.0022562,0,0.0022562,0,0
CAF,MYS,Import,0.0022704,0,0.0022704,0,0
GNB,BEL,Import,0.002287,0,0.002287,0,0
PRK,RWA,Export,0.002291,0,0.002291,0,0
FRO,NLD,Import,0.0023619,0,0.0023619,0,0
PRY,URY,Export,0.0023754,0,0.0023754,0,0
HTI,PAK,Export,0.0024095,0,0.0024095,0,0
COM,BGR,Import,0.0024312,0,0.0024312,0,0
CRI,ZAF,Export,0.0024336,0,0.0024336,0,0
SYC,ZAF,Export,0.0024502,0,0.0024502,0,0
MNG,KAZ,Export,0.0025865,0,0.0025865,0,0
NRU,FJI,Export,0.0026015,0,0.0026015,0,0
ATF,LVA,Import,0.0026018,0.0026018,0,0,0
BLZ,HND,Export,0.0026352,0,0.0026352,0,0
BLZ,CUB,Export,0.0026384,0,0.0026384,0,0
SLB,CHN,Import,0.0026407,0,0.0026407,0,0
BGD,IND,Export,0.0026488,0,0.0026488,0,0
KIR,CIV,Import,0.0026671,0,0.0026671,0,0
COD,CIV,Export,0.0027252,0,0.0027252,0,0
KEN,MWI,Export,0.0027291,0,0.0027291,0,0
KEN,BHS,Export,0.0027714,0,0.0027714,0,0
ATA,KOR,Export,0.0027973,0,0.0027973,0,0
UMI,PHL,Import,0.0028016,0,0,0.0028016,0
ASM,FJI,Export,0.0028104,0,0.0028104,0,0
NRU,SGP,Import,0.002838,0,0.002838,0,0
PRY,USA,Export,0.002838,0,0.002838,0,0
HTI,BEL,Import,0.0028389,0,0.0028389,0,0
LCA,FRA,Export,0.0029444,0,0.0029444,0,0
LBR,USA,Export,0.0029663,0,0.0029663,0,0
LBN,SDN,Export,0.0030382,0,0.0030382,0,0
COK,NAM,Export,0.0030695,0,0.0030695,0,0
MLI,ESP,Export,0.003081,0,0.003081,0,0
ETH,ARE,Export,0.0031081,0,0.0031081,0,0
MLI,AUS,Export,0.0031135,0,0.0031135,0,0
LBN,COG,Export,0.0031386,0.0001567,0.0029819,0,0
KIR,SGP,Import,0.0031436,0,0.0031436,0,0
KNA,BGR,Import,0.0032029,0,0.0032029,0,0
KNA,CHN,Import,0.0032123,0,0.0032123,0,0
COD,ZAF,Export,0.0032216,0.0000849,0.0031367,0,0
VUT,THA,Import,0.003284,0,0.003284,0,0
KNA,ITA,Import,0.00329,0,0.00329,0,0
HND,CRI,Export,0.0033047,0,0.0033047,0,0
PRK,ARE,Import,0.0033101,0,0.0033101,0,0
BLZ,EST,Export,0.003311,0,0.003311,0,0
CYM,CHE,Import,0.0033149,0,0.0033149,0,0
NFK,NER,Import,0.003329,0,0.003329,0,0
VGB,AUS,Export,0.0033324,0,0.0033324,0,0
MDV,AUS,Export,0.003334,0,0.003334,0,0
CAF,BFA,Import,0.0034489,0,0.0034489,0,0
TON,USA,Import,0.0034994,0,0.0034994,0,0
CAF,CHN,Import,0.0035948,0,0.0035948,0,0
SHN,FJI,Import,0.0035952,0,0.0035952,0,0
ASM,AUS,Import,0.0036034,0,0.0036034,0,0
LBN,SLE,Export,0.003645,0.0000612,0.0035838,0,0
CRI,HND,Export,0.0036455,0,0.0036455,0,0
COK,BGR,Import,0.0037622,0,0.0037622,0,0
GMB,FRA,Export,0.003784,0,0.003784,0,0
MDA,AUT,Export,0.0038302,0,0.0038302,0,0
SLB,THA,Import,0.0038412,0,0.0038412,0,0
CRI,USA,Export,0.0038441,0,0.0038441,0,0
SLB,PNG,Import,0.0038475,0,0.0038475,0,0
PNG,SLB,Export,0.0038475,0,0.0038475,0,0
LBR,CHN,Export,0.0038628,0,0.0038628,0,0
COK,ZAF,Import,0.0038911,0,0.0038911,0,0
KNA,ZAF,Import,0.0039413,0,0.0039413,0,0
FLK,ZAF,Import,0.0039896,0,0.0039896,0,0
TCA,CAN,Export,0.0040016,0,0.0040016,0,0
SLE,GIN,Export,0.0041055,0,0.0041055,0,0
BMU,CHE,Import,0.004137,0,0.004137,0,0
GMB,ESP,Import,0.0041407,0,0.0041407,0,0
SWZ,BFA,Import,0.0041514,0,0.0041514,0,0
MAC,NLD,Import,0.0041649,0,0.0041649,0,0
BGD,NPL,Export,0.0041852,0,0.0041852,0,0
MUS,MDG,Export,0.0042745,0.0000031,0.0042714,0,0
JOR,ISR,Export,0.0043379,0.0006141,0.0037238,0,0
TON,TUR,Import,0.0044107,0,0.0044107,0,0
MNE,AUT,Export,0.0044708,0,0.0044708,0,0
