index,Country,Cases,Cases_2020,Cases_2021,Cases_2022,Cases_week,Deaths,Deaths_2020,Deaths_2021,Deaths_2022,Deaths_week,Fully_vaccinated,Vaccinated_booster
62,Equatorial Guinea,17182.0,5277.0,8433,3472.0,0.0000,183.0,86.0,89,8.0,0.0000,12.78,0.27
63,Eritrea,10189.0,1320.0,6691,2178.0,0.0000,103.0,3.0,73,27.0,0.0000,0.0,0.0
64,Estonia,608796.0,27990.0,213418,367388.0,52.5723,2781.0,229.0,1703,849.0,0.0000,63.93,43.88
65,Eswatini,73770.0,9358.0,56751,7661.0,0.0000,1422.0,205.0,1098,119.0,0.0000,40.83,12.28
66,Ethiopia,494497.0,124264.0,296078,74155.0,0.2119,7572.0,1923.0,5014,635.0,0.0000,29.75,1.96
67,Faeroe Islands,34658.0,610.0,5154,28894.0,0.0000,28.0,0.0,14,14.0,0.0000,0.0,0.0
68,Falkland Islands,1930.0,29.0,54,1847.0,0.0000,,0.0,0,,0,0.0,0.0
69,Fiji,68375.0,49.0,53283,15043.0,10.4480,878.0,2.0,696,180.0,0.0000,68.83,18.2
70,Finland,1394254.0,36107.0,224185,1133962.0,309.4736,7265.0,561.0,1003,5701.0,6.7036,78.43,75.06
71,France,37631069.0,2660676.0,7357345,27613048.0,592.3369,158708.0,64644.0,59161,34903.0,1.0027,78.32,66.43
72,French Polynesia,76827.0,16926.0,29456,30445.0,0.0000,649.0,114.0,522,13.0,0.0000,60.75,36.64
73,Gabon,48972.0,9571.0,32227,7174.0,0.0000,306.0,64.0,224,18.0,0.0000,10.77,0.11
74,Gambia,12586.0,3797.0,6373,2416.0,0.3167,372.0,124.0,219,29.0,0.0000,16.79,1.15
75,Georgia,1805698.0,227420.0,707321,870957.0,0.0000,16912.0,2505.0,11295,3112.0,0.0000,34.08,0.0
76,Germany,36373165.0,1746929.0,5446257,29179979.0,287.4626,157495.0,33791.0,78320,45384.0,1.5113,76.17,76.19
77,Ghana,171009.0,54771.0,88215,28023.0,0.0554,1461.0,335.0,960,166.0,0.0000,26.74,7.51
78,Gibraltar,20184.0,2040.0,6661,11483.0,0.0000,110.0,7.0,93,10.0,0.0000,0.0,0.0
79,Greece,5360506.0,138850.0,1072003,4149653.0,773.0126,34178.0,4838.0,15952,13388.0,1.8709,73.58,66.26
80,Greenland,11971.0,27.0,2584,9360.0,0.0000,21.0,0.0,1,20.0,0.0000,0.0,0.0
81,Grenada,19616.0,127.0,6054,13435.0,0.0000,237.0,0.0,200,37.0,0.0000,31.07,5.86
82,Guatemala,1153985.0,138012.0,490347,525626.0,44.4249,19948.0,4813.0,11294,3841.0,0.0800,39.31,22.77
83,Guinea,38153.0,13722.0,18329,6102.0,0.0000,464.0,81.0,310,73.0,0.0000,22.92,1.5
84,Guinea-Bissau,8848.0,2452.0,4032,2364.0,0.0000,176.0,45.0,104,27.0,0.0000,19.2,0.04
