Belgium,Italy,242108,222323,196101,169649,164231,183764,186116
Russian Federation,Turkmenistan,165923,173279,174352,180124,182189,185664,185795
Chile,Peru,7052,21256,35460,94114,152768,178385,185731
United States of America,Egypt,66313,91056,116275,124709,137193,179188,185131
United States of America,France,119233,137002,154992,155257,160300,177400,183284
Netherlands,Morocco,114850,130895,151473,168387,167858,172291,180226
United States of America,Cambodia,118833,129616,140456,147478,159212,172838,178571
Canada,Germany,173222,172549,175979,166471,152345,170370,177129
Canada,Poland,177219,176548,180074,160218,152285,170303,177059
United States of America,Romania,91106,115055,139418,152171,169928,169343,174960
Switzerland,Serbia,,41386,82923,112119,143493,168629,174909
Egypt,Syrian Arab Republic,5259,5198,5549,6606,7129,206837,174813
South Africa,Namibia,10904,23874,43615,52210,90408,164558,174043
Burundi,Democratic Republic of the Congo,36654,41447,37951,84099,137611,167768,173417
Germany,Hungary,50833,69867,88901,116809,139766,145629,173338
Congo,Democratic Republic of the Congo,67316,110720,183780,230684,252142,170368,172923
Austria,Bosnia and Herzegovina,92349,104186,116023,124345,132666,155164,170864
Turkey,TFYR Macedonia,37647,84307,134372,138175,142389,144544,170807
United Kingdom,Italy,88822,95453,103689,114731,135115,162151,170454
Italy,Republic of Moldova,84,3371,6658,86725,166791,166819,169753
Brazil,Portugal,274924,244319,213713,176510,136775,164705,169069
Singapore,Indonesia,21520,34241,50277,91090,136979,163237,168355
Qatar,Egypt,250,271,253,48490,136060,163569,166840
Bangladesh,China,140163,131427,122691,145405,160252,162772,166646
Nigeria,Mali,14578,39251,65493,130115,132718,160967,165795
Algeria,Western Sahara,167905,166903,165911,130960,143923,158854,164924
Australia,Malaysia,72135,80793,84670,101410,129910,156934,164534
Qatar,Bangladesh,36556,43199,43402,75689,169370,160183,163386
Spain,Venezuela (Bolivarian Republic of),32469,38704,61587,108707,148147,160478,162000
United Arab Emirates,Jordan,26078,35757,47494,63626,141838,154991,161143
Canada,Portugal,154655,152654,154283,141057,138520,154909,161055
Puerto Rico,United States of America,227483,230426,233924,223949,185814,165147,161025
United Kingdom,France,52367,71537,91911,108252,133406,153149,160991
Canada,Pakistan,24161,52674,82440,116119,136865,153059,159131
Israel,Morocco,157029,166657,166953,161576,158158,163113,159091
Portugal,Angola,141573,154254,173193,169591,137826,156251,159028
United Kingdom,Lithuania,1182,2675,4214,52001,104022,151116,158854
United States of America,Ghana,20889,43808,67237,89959,116035,153393,158481
Spain,Dominican Republic,15160,21654,36953,73049,136976,156905,158393
Belgium,France,90212,99667,106237,116072,139529,156124,158122
Argentina,Italy,336040,273401,210762,171388,132014,152338,158049
Sweden,Finland,153578,182250,195447,183685,172864,159483,157851
Switzerland,France,87249,93526,100144,113664,129392,152058,157721
Spain,China,8432,4349,2138,81322,154918,155713,157190
Bangladesh,Indonesia,70627,84052,97476,123383,143647,152862,156500
France,Belgium,127976,132113,136250,138343,141648,155856,155548
Singapore,India,14109,29739,48248,83963,124357,150082,154788
Qatar,Nepal,459,498,464,23647,66011,151314,154340
India,Sri Lanka,281720,235785,189850,175411,160971,155195,153643
Canada,Sri Lanka,24410,56926,90795,107923,132130,147763,153625
Nigeria,Togo,46886,52442,60095,119390,121778,147698,152128
Spain,Bolivia (Plurinational State of),1806,2467,4190,92918,216020,150680,152109
Qatar,Philippines,37462,44332,44593,54268,107963,148496,151465
Romania,Republic of Moldova,52248,45512,36316,40681,47299,114654,151249
Ukraine,Republic of Moldova,180029,174541,171185,156418,149246,149745,151242
Belgium,Netherlands,61047,74759,86307,104871,132872,148675,150578
United States of America,Greece,177398,173870,169958,158144,150879,144458,149249
Saudi Arabia,Ethiopia,61017,62534,64252,79371,102910,131493,148753
United Kingdom,Portugal,19323,27105,35344,59305,88094,140098,147271
Canada,Jamaica,98288,108174,120632,119447,126035,140947,146539
Germany,France,89386,97944,106502,112952,117963,122911,146297
Italy,Philippines,65197,75405,85612,114522,143432,143457,145980
South Sudan,Uganda,,,,,144466,145607,145799
Azerbaijan,Armenia,202586,205368,188400,170050,155685,148503,145693
United Kingdom,Jamaica,138898,139059,141559,141923,153842,137172,144196
United States of America,Israel,86048,99193,112505,124955,141567,137598,142162
Russian Federation,Germany,144895,149872,149414,145892,139367,142026,142126
Australia,Germany,126452,125092,119070,122990,126300,134664,141186
United Kingdom,Kenya,109722,116551,125340,124826,134474,134151,141020
Canada,Iran (Islamic Republic of),29467,51266,74284,95395,120685,134964,140318
Germany,Netherlands,116092,111594,107095,110348,112693,117420,139761
Saudi Arabia,Lebanon,57203,58626,60237,74411,96479,123277,139459
United Kingdom,Philippines,21328,29809,38793,78326,124236,132139,138905
United Kingdom,Sri Lanka,38424,51624,65693,90900,123509,132138,138904
United States of America,Ireland,169827,165333,160447,145477,134587,134430,138889
Italy,India,3413,23261,43109,89745,136380,136403,138802
Germany,United States of America,99835,104837,109838,110843,111303,115973,138039
Germany,Iran (Islamic Republic of),95723,100027,104331,108310,111268,115936,137995
Argentina,Uruguay,136906,125366,113827,114433,115039,132749,137726
Ireland,Poland,3168,17186,40650,90158,124820,127507,137131
Estonia,Russian Federation,283457,236214,188970,172571,154721,138220,137011
Italy,France,66902,56690,46478,90429,134380,134403,136767
"China, Hong Kong SAR",Indonesia,90186,100652,111117,121316,131809,134593,136697
Portugal,Brazil,23722,35931,49599,91614,118415,134245,136631
Czechia,Ukraine,8198,12298,16397,73905,125343,130992,136287
Qatar,Pakistan,334,363,338,51773,145204,133212,135876
Malaysia,India,20808,46325,76707,95250,126986,132699,135352
Sweden,Iraq,38795,46038,49372,72553,118361,130995,133414
Singapore,Pakistan,12345,26021,42217,73468,108812,129253,133306
Latvia,Russian Federation,473207,354000,234753,201748,163606,137224,132814
Jordan,Egypt,171413,229396,287377,188554,135994,127716,132703
Australia,Greece,148090,142981,130790,129020,122510,126551,132680
Spain,Cuba,21854,28314,45738,71614,103189,131134,132378
United States of America,Myanmar,19835,26561,33415,49239,66988,128008,132254
Netherlands,Indonesia,186717,173584,166679,155822,141028,132159,132117
Netherlands,Germany,127898,123377,123252,117599,120786,123273,131877
Israel,Ukraine,168081,170963,164271,146749,131007,135112,131780
United Kingdom,Australia,72426,87623,104295,108178,120868,125135,131542
United Kingdom,Spain,37827,44874,52676,64301,81162,125091,131496
Canada,Republic of Korea,31722,56171,81955,102474,112400,125699,130686
United States of America,Lebanon,86369,97425,108599,114895,124883,124865,129006
Spain,Bulgaria,1084,1959,3678,86226,145061,126875,128078
France,Viet Nam,99095,102298,105501,118704,116235,127993,127857
Egypt,State of Palestine,53328,52935,56745,117556,126871,150486,127186
United Arab Emirates,Sudan,32088,42130,54597,55931,111835,122206,127057
Gambia,Senegal,72943,89990,112746,111877,114333,118452,126156
Netherlands,Poland,9026,12398,16189,24970,58215,98435,126133
United States of America,Bosnia and Herzegovina,55354,78090,101273,109203,120693,121415,125442
South Africa,United Kingdom,117362,105771,124002,148510,128581,117019,123764
Uzbekistan,Ukraine,180213,153360,131027,132963,129604,124602,123355
United States of America,Kenya,14371,27894,41715,64484,89826,119210,123164
France,Madagascar,38740,39993,41245,106558,111307,122471,122229
Italy,Poland,24516,33838,43160,80891,118621,118641,120728
United Kingdom,Somalia,6078,23882,42089,67595,98604,114110,119953
"China, Hong Kong SAR",Philippines,79010,88179,97347,106282,115475,117914,119757
France,Senegal,73801,76187,78572,99224,108968,119898,119661
United States of America,Tunisia,4101,5285,6490,7375,8511,115113,118931
Lebanon,Iraq,11774,18572,25369,84380,143391,120739,118659
Italy,Peru,12843,29771,46699,81359,116018,116038,118079
United Kingdom,Zimbabwe,20857,34085,47888,79861,118337,112132,117873
Australia,Sri Lanka,46660,52524,58220,70620,96490,112120,117550
Nigeria,Niger,35442,39858,45868,91126,92949,112733,116114
Australia,United States of America,53575,55234,59720,70550,85330,110643,116001
Cameroon,Nigeria,105140,97818,90495,101721,82748,108697,115519
Germany,Iraq,6844,32864,58884,77641,93073,96977,115429
Germany,Morocco,72631,75112,77592,85965,92677,96565,114938
United Arab Emirates,Sri Lanka,44420,43576,45240,49194,101145,110524,114911
Canada,Netherlands,124373,119431,117329,104551,98510,110165,114535
Republic of Korea,Viet Nam,215,7664,17554,45449,91350,113590,114462
United States of America,Panama,85737,96734,107847,106087,107540,110516,114181
United Kingdom,Ghana,31872,42703,54254,70045,91540,108102,113637
France,Poland,135061,139427,143793,101024,103216,113569,113345
Germany,Viet Nam,69594,75465,81335,86970,91388,95221,113338
Spain,Portugal,35909,42238,65690,75768,134592,112032,113095
Greece,Germany,26527,63007,100521,108685,121579,114343,112270
Israel,Russian Federation,175938,173915,162154,135827,111148,114630,111803
France,China,41681,43028,44375,70951,101734,111938,111717
Italy,Egypt,40045,41691,43336,75904,108471,108490,110398
United States of America,Spain,76415,80702,84962,86286,90296,106354,109881
Italy,Tunisia,70813,73188,75563,91608,107653,107671,109565
Kyrgyzstan,Russian Federation,349174,284678,215735,172466,126580,111753,109517
Uganda,Rwanda,219499,141160,78758,84844,76836,76861,108638
Kuwait,Indonesia,38147,34017,43100,52859,75801,99485,108415
Zimbabwe,Malawi,68618,67945,92989,102611,103281,107849,107849
Spain,Italy,12204,16048,26797,47475,87330,106324,107332
Germany,Serbia,428334,512812,597290,319713,86303,89923,107032
Libya,Somalia,3917,40088,76918,84755,92720,104539,106880
Italy,Brazil,25441,27162,28883,66536,104189,104207,106040
Australia,Ireland,51999,54399,53580,55730,70990,101032,105925
Germany,Bulgaria,27077,30146,33214,61639,85217,88792,105686
Mauritania,Mali,6776,41626,7483,7547,7612,104491,105674
United Republic of Tanzania,Democratic Republic of the Congo,19354,21834,110786,150345,60386,88250,105174
Canada,France,52932,62998,74561,89277,90445,101146,105159
United States of America,Chile,55681,69155,82855,87860,95695,101623,104993
United States of America,Nepal,2262,7081,12012,29611,48579,100633,103970
Malaysia,Philippines,104730,123116,154427,81938,20798,101732,103766
Germany,United Kingdom,103961,107736,111510,96506,83616,87123,103700
Slovenia,Bosnia and Herzegovina,68549,68327,67952,72060,107807,100218,103663
Australia,Republic of Korea,23735,28782,36160,51160,84160,98395,103160
United States of America,Indonesia,48387,61278,74394,83425,95254,99533,102834
Germany,China,19834,34512,49190,67622,82817,86291,102709
South Africa,Malawi,13336,17067,25638,30697,53155,96751,102327
Canada,Guyana,63381,72507,83357,82392,87945,98350,102252
Argentina,Spain,229535,179945,130356,107663,84969,98050,101726
Israel,Romania,128886,131109,125991,112577,100528,103678,101121
Australia,Lebanon,81858,79925,79050,84910,89680,96306,100970
Germany,Spain,142457,133808,125158,101503,81357,84770,100899
Luxembourg,Portugal,30614,40221,50254,55878,94683,99129,100460
Australia,"China, Hong Kong SAR",57852,68683,75450,79850,85500,95557,100185
Spain,Brazil,13454,17132,28179,68502,132649,99187,100128
Germany,Afghanistan,33279,51537,69794,75824,80611,83992,99973
United States of America,South Africa,34707,49789,65171,73064,83406,96214,99405
Sweden,Syrian Arab Republic,11128,13205,14162,16772,19719,68095,99352
United Kingdom,Latvia,1160,2623,4132,30230,58790,94066,98882
Niger,Nigeria,38319,28313,18540,18873,19177,73179,98849
Germany,Portugal,92782,111027,129271,102455,79661,83003,98796
Italy,Bangladesh,5421,14361,23300,60160,97019,97036,98743
