Country,Time,Time_unit,Deaths_old,Deaths_2020,Deaths_2021,Deaths_2022
Colombia,14,week,4250.2,4219,7279,4917
Colombia,15,week,4230.6,4276,8519,4784
Colombia,16,week,4232,4376,8872,4994
Colombia,17,week,4237.2,4359,8850,4940
Colombia,18,week,4301.2,4304,8965,5180
Colombia,19,week,4339.4,4488,9061,5129
Colombia,20,week,4487.2,4613,9142,5118
Colombia,21,week,4445.8,4727,9390,5167
Colombia,22,week,4454.4,4772,9874,5302
Colombia,23,week,4511.2,5190,10199,5348
Colombia,24,week,4477,5385,10558,5394
Colombia,25,week,4521.2,5828,10606,5419
Colombia,26,week,4564.2,6166,10412,5892
Colombia,27,week,4527.4,6291,9705,5960
Colombia,28,week,4511.2,6796,8895,5967
Colombia,29,week,4410,7377,7761,5443
Colombia,30,week,4289.2,7767,7150,5473
Colombia,31,week,4327.2,8131,6385,5301
Colombia,32,week,4407,7926,5891,5271
Colombia,33,week,4365.8,7693,5673,5065
Colombia,34,week,4300.2,7193,5383,5182
Colombia,35,week,4320.4,6845,5136,5225
Colombia,36,week,4313.2,6613,5099,5147
Colombia,37,week,4278.4,6427,5028,4894
Colombia,38,week,4338.8,6290,5259,4891
Colombia,39,week,4222.6,6200,5051,4871
Colombia,40,week,4273,6053,5180,4986
Colombia,41,week,4307,6227,5105,5045
Colombia,42,week,4290.4,6226,5041,5115
Colombia,43,week,4211.4,6349,5080,4992
Colombia,44,week,4325.2,6124,5156,5000
Colombia,45,week,4343,6301,5317,4948
Colombia,46,week,4351.4,6169,5316,5040
Colombia,47,week,4381.8,6281,5309,5314
Colombia,48,week,4421,6313,5523,5233
Colombia,49,week,4556,6250,5635,5383
Colombia,50,week,4557,6682,5510,5391
Colombia,51,week,4581.8,6724,5901,5561
Colombia,52,week,4743.8,7237,5959,5727
Colombia,53,week,4580,7881,,
Costa Rica,1,month,2022.6,2160,2676,2506
Costa Rica,2,month,1685.8,1914,2076,2494
Costa Rica,3,month,1873.8,2003,2274,2401
Costa Rica,4,month,1834,1881,2314,2128
Costa Rica,5,month,1906.6,1862,3022,2466
Costa Rica,6,month,1911.6,1857,2636,2506
Costa Rica,7,month,1902.2,2059,2486,2560
Costa Rica,8,month,1922.6,2273,2742,2434
Costa Rica,9,month,1873,2536,3169,
Costa Rica,10,month,1953.8,2467,2958,
Costa Rica,11,month,1954.8,2300,2360,
Costa Rica,12,month,2147,2897,2368,
Croatia,1,week,1207.8,1033,1342,1415
Croatia,2,week,1258.4,1056,1358,1405
Croatia,3,week,1253.2,1016,1307,1454
Croatia,4,week,1234,1134,1244,1558
Croatia,5,week,1195,1094,1204,1613
Croatia,6,week,1160.2,1059,1161,1415
Croatia,7,week,1139.2,1091,1121,1422
Croatia,8,week,1116,1045,1096,1235
Croatia,9,week,1117.2,1021,1034,1218
Croatia,10,week,1128.2,1056,1080,1137
Croatia,11,week,1092,1082,1021,1178
Croatia,12,week,1064,1094,1142,1089
Croatia,13,week,1037.6,1122,1231,1096
Croatia,14,week,1046.4,1012,1283,1079
Croatia,15,week,995.8,1001,1289,1085
Croatia,16,week,962.8,978,1318,1039
Croatia,17,week,1013.4,868,1341,997
Croatia,18,week,969.6,909,1252,1032
Croatia,19,week,948.2,880,1255,1017
Croatia,20,week,941.2,908,1106,869
Croatia,21,week,945.2,904,1047,901
Croatia,22,week,929,848,1143,928
Croatia,23,week,949.6,972,1061,953
Croatia,24,week,940.8,979,1030,872
Croatia,25,week,921.6,889,1116,993
Croatia,26,week,912.6,927,982,1016
Croatia,27,week,951.6,970,1002,1048
Croatia,28,week,949.4,919,991,950
Croatia,29,week,955.2,888,909,1108
Croatia,30,week,987.2,974,1069,1113
Croatia,31,week,961.4,1059,957,1098
Croatia,32,week,957.6,956,1063,990
Croatia,33,week,937.2,926,996,962
Croatia,34,week,904.2,921,963,1032
Croatia,35,week,915,972,1043,960
Croatia,36,week,886.4,931,1092,971
Croatia,37,week,899.2,1000,1111,911
