Context,node1,node2,node3,node4,node5,node6,node7,node8,node9,node10,node11,node12
101,Fiddler,Apsalar,Crokus,Iskaral,Icarium,Mappo,Messremb,,,,,
101,Apsalar,Crokus,Iskaral,Icarium,Mappo,Messremb,,,,,,
101,Crokus,Iskaral,Icarium,Mappo,Messremb,,,,,,,
101,Iskaral,Icarium,Mappo,Messremb,,,,,,,,
101,Icarium,Mappo,Messremb,,,,,,,,,
101,Mappo,Messremb,,,,,,,,,,
102,Felisin,Heboric,Leoman,Toblakai,Dryjhna,Bidithal,Febryl,Loric,,,,
102,Heboric,Leoman,Toblakai,Dryjhna,Bidithal,Febryl,Loric,,,,,
102,Leoman,Toblakai,Dryjhna,Bidithal,Febryl,Loric,,,,,,
102,Toblakai,Dryjhna,Bidithal,Febryl,Loric,,,,,,,
102,Dryjhna,Bidithal,Febryl,Loric,,,,,,,,
102,Bidithal,Febryl,Loric,,,,,,,,,
102,Febryl,Loric,,,,,,,,,,
103,Fiddler,Apsalar,Crokus,Iskaral,Icarium,Mappo,Gryllen,Kimloc,,,,
103,Apsalar,Crokus,Iskaral,Icarium,Mappo,Gryllen,Kimloc,,,,,
103,Crokus,Iskaral,Icarium,Mappo,Gryllen,Kimloc,,,,,,
103,Iskaral,Icarium,Mappo,Gryllen,Kimloc,,,,,,,
103,Icarium,Mappo,Gryllen,Kimloc,,,,,,,,
103,Mappo,Gryllen,Kimloc,,,,,,,,,
103,Gryllen,Kimloc,,,,,,,,,,
104,Coltaine,Korbolo,Nethpara,Sormo,,,,,,,,
104,Korbolo,Nethpara,Sormo,,,,,,,,,
104,Nethpara,Sormo,,,,,,,,,,
105,Kalam,Pearl,Quick,,,,,,,,,
105,Pearl,Quick,,,,,,,,,,
106,List,Duiker,Coltaine,,,,,,,,,
106,Duiker,Coltaine,,,,,,,,,,
107,Coltaine,Quick,Duiker,Laseen,Trygalle,Dujek,,,,,,
107,Quick,Duiker,Laseen,Trygalle,Dujek,,,,,,,
107,Duiker,Laseen,Trygalle,Dujek,,,,,,,,
107,Laseen,Dujek,,,,,,,,,,
108,Coltaine,Korbolo,Khundryl,Semk,Tithansi,,,,,,,
108,Korbolo,Khundryl,Semk,Tithansi,,,,,,,,
108,Khundryl,Semk,Tithansi,,,,,,,,,
109,Crokus,Fiddler,Apsalar,Rellock,Icarium,Mappo,Iskaral,Dassem,,,,
109,Fiddler,Apsalar,Rellock,Icarium,Mappo,Iskaral,Dassem,,,,,
109,Apsalar,Rellock,Icarium,Mappo,Iskaral,Dassem,,,,,,
109,Rellock,Icarium,Mappo,Iskaral,Dassem,,,,,,,
109,Icarium,Mappo,Iskaral,Dassem,,,,,,,,
109,Mappo,Iskaral,Dassem,,,,,,,,,
109,Iskaral,Dassem,,,,,,,,,,
110,Fiddler,Trygalle,Quick,,,,,,,,,
110,Trygalle,Quick,,,,,,,,,,
111,Coltaine,Duiker,Nil,Nether,Korbolo,,,,,,,
111,Duiker,Nil,Nether,Korbolo,,,,,,,,
112,Duiker,Nethpara,,,,,,,,,,
