State,Measure,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12
Wisconsin,PFINeigh1,5.4,5.82,5.5,5.27,5.46,5.67,5.89,5.5,5,6,5.4,5.67
Kansas,PFINeigh1,5.2,5.6,6,5.75,6,6,6,5,7,7,0,0
District of Columbia,PFINeigh1,6,7,6,5.5,7,7,6,7,7,0,7,7
Louisiana,PFINeigh1,5,5.5,5.43,5,5.38,5,4.5,4.86,5.83,5,5,4.83
Minnesota,PFINeigh1,5.14,4.57,5.5,5.8,5.67,4,6,5,5,0,5,5.5
South Carolina,PFINeigh1,5.38,6.09,5.44,5.1,6,5.75,5.5,6,5.88,5,5.4,5.5
Iowa,PFINeigh1,4.86,4.4,4.5,4.8,4.25,4,3,3.5,4.33,3.5,3,5
New Jersey,PFINeigh1,5.8,5.59,5.65,5.79,5.42,6,6.2,5.67,5.91,5.92,5.56,5.5
Nebraska,PFINeigh1,5.6,5.25,5,5.4,6,4.75,5.33,5.25,4.67,4.75,5.67,5
New Hampshire,PFINeigh1,5.25,5.33,5,5.33,5.5,4,5,4,4.5,5.5,5,5.5
Mississippi,PFINeigh1,4.8,5.33,5.33,4.75,4.25,4.67,4.75,4.5,5,4.33,4.75,4.5
none,PFINeigh1,5.67,6,6,6,5,4,3.5,5.5,5.5,0,0,5
Rhode Island,PFINeigh1,4.5,6,3,5.5,5,0,4,4,0,0,5.5,5.5
Nevada,PFINeigh1,5.57,5.6,5.6,5.5,5.8,5.67,6.4,5.67,6,5.8,6,5
Delaware,PFINeigh1,6,6,6,4,4,1,5.5,5,3,4.5,3.5,3
Connecticut,PFINeigh1,5.6,5.5,5.33,6,5,5.33,5,5,6,5,5,6
South Dakota,PFINeigh1,7,0,6,6,0,5,0,0,0,0,0,0
Utah,PFINeigh1,7,6,6,7,6,6,5,6,0,6,0,6
Maine,PFINeigh1,4,0,0,0,0,0,0,0,0,2,0,0
All states,PFINeigh1,5.22,5.22,5.11,5.14,5.25,5.23,5.2,5.18,5.24,5.14,5.23,5.27
